_id,HAPPENED_TIME,SWING_TYPE,HAND_TYPE,SPIN,BALL_SPEED,HEAVINESS,POSITION_X,POSITION_Y,L_PLAY_SESSION_ID,IS_HIT_FRAME
63,02-22-2023 01:38:29 PM,TOPSPIN,BH,2712.54150390625,82.43498992919922,168.52435302734375,10.0,10.0,23,0
64,02-22-2023 01:40:20 PM,TOPSPIN,FH,1327.879150390625,103.97770690917969,152.11093139648438,9.0,9.0,23,0
65,02-22-2023 01:40:27 PM,TOPSPIN,FH,1243.6370849609375,114.20101165771484,176.7371826171875,10.0,10.0,23,0
66,02-22-2023 01:40:33 PM,FLAT,FH,1024.8797607421875,119.24578094482422,189.39340209960938,10.0,9.0,23,0
67,02-22-2023 01:40:38 PM,TOPSPIN,FH,1256.051513671875,104.57593536376953,153.5135955810547,9.0,9.0,23,0
68,02-22-2023 01:40:44 PM,TOPSPIN,FH,1476.9036865234375,102.20140075683594,147.97454833984375,9.0,10.0,23,0
69,02-22-2023 01:41:19 PM,SERVE,FH,1689.7061767578125,125.66625213623047,226.5592803955078,9.0,10.0,23,1
70,02-23-2023 12:51:24 PM,SERVE,FH,2004.82275390625,132.4257354736328,282.4877624511719,10.0,8.0,24,0
71,02-23-2023 12:51:51 PM,SERVE,FH,3738.68603515625,105.21707153320312,321.8816223144531,8.0,16.0,24,0
72,02-23-2023 12:52:09 PM,SERVE,FH,1807.3934326171875,139.93328857421875,283.9872741699219,10.0,13.0,24,1
73,02-23-2023 12:52:36 PM,SERVE,FH,3618.388671875,111.72535705566406,345.1739501953125,10.0,12.0,24,0
74,02-23-2023 12:52:54 PM,TOPSPIN,FH,1249.66650390625,106.94239044189453,159.10939025878906,10.0,10.0,24,0
75,02-23-2023 12:53:07 PM,FLAT,FH,1062.853515625,102.2292709350586,148.0391082763672,10.0,9.0,24,0
76,02-23-2023 12:53:10 PM,TOPSPIN,FH,1604.2010498046875,109.37931823730469,174.05496215820312,7.0,10.0,24,0
77,02-23-2023 12:53:22 PM,SERVE,FH,1692.29736328125,138.9617462158203,266.4383850097656,9.0,10.0,24,0
78,02-23-2023 12:53:45 PM,SERVE,FH,3378.50830078125,101.58161163330078,280.5867614746094,11.0,10.0,24,0
79,02-23-2023 12:54:01 PM,TOPSPIN,BH,2734.478515625,110.7247085571289,271.94049072265625,10.0,10.0,24,0
80,02-23-2023 12:54:15 PM,FLAT,FH,1007.3059692382812,82.22136688232422,104.47959899902344,10.0,9.0,24,0
81,02-23-2023 12:54:16 PM,FLAT,BH,1032.820068359375,70.8451156616211,82.32881927490234,9.0,9.0,24,0
82,02-23-2023 12:54:17 PM,FLAT,BH,1199.024658203125,65.23667907714844,72.1511001586914,10.0,9.0,24,0
83,02-23-2023 12:54:18 PM,FLAT,FH,1192.76416015625,93.75082397460938,128.8890838623047,11.0,8.0,24,0
84,02-23-2023 12:54:33 PM,FLAT,BH,1195.9342041015625,61.339996337890625,65.38016510009766,9.0,9.0,24,0
85,02-23-2023 12:54:34 PM,TOPSPIN,FH,1287.377197265625,94.22039794921875,129.92356872558594,11.0,9.0,24,0
86,02-23-2023 12:54:53 PM,SERVE,FH,2699.110595703125,110.24629974365234,267.2649230957031,7.0,11.0,24,0
87,02-23-2023 12:58:51 PM,TOPSPIN,BH,1274.232177734375,55.09333038330078,55.05724334716797,11.0,11.0,24,0
88,02-23-2023 01:02:05 PM,TOPSPIN,FH,1208.634521484375,97.85820770263672,138.04212951660156,12.0,10.0,24,0
89,02-23-2023 01:02:07 PM,FLAT,BH,1116.819580078125,73.13741302490234,86.6322021484375,10.0,10.0,24,0
90,02-23-2023 01:02:08 PM,FLAT,BH,1090.12744140625,67.39190673828125,76.00259399414062,9.0,8.0,24,0
91,02-23-2023 01:02:10 PM,FLAT,BH,1111.9534912109375,67.29095458984375,75.82051086425781,11.0,10.0,24,0
92,02-23-2023 01:02:13 PM,TOPSPIN,FH,1221.0657958984375,85.27233123779297,110.75135040283203,11.0,9.0,24,0
93,02-23-2023 01:02:14 PM,TOPSPIN,FH,1226.3895263671875,74.58609008789062,89.39404296875,11.0,9.0,24,0
94,02-23-2023 01:02:15 PM,TOPSPIN,FH,2193.18310546875,82.84832000732422,143.3167266845703,7.0,9.0,24,0
95,02-23-2023 01:02:21 PM,TOPSPIN,FH,1670.3287353515625,109.01261901855469,178.80819702148438,10.0,10.0,24,0
96,02-23-2023 01:02:42 PM,SERVE,FH,2358.0771484375,116.42076873779297,261.7448425292969,6.0,11.0,24,0
97,02-23-2023 01:03:11 PM,SERVE,FH,1846.2860107421875,121.50514221191406,230.44839477539062,10.0,9.0,24,0
98,02-23-2023 01:03:24 PM,SERVE,FH,1783.24658203125,126.59461212158203,239.34066772460938,7.0,10.0,24,0
99,02-23-2023 01:03:44 PM,SERVE,FH,2468.848876953125,113.49565124511719,260.70263671875,6.0,14.0,24,0
100,02-23-2023 01:03:52 PM,TOPSPIN,BH,2662.708251953125,110.63944244384766,265.887451171875,11.0,8.0,24,0
101,02-23-2023 01:04:08 PM,SERVE,FH,2525.19873046875,120.09794616699219,290.5871276855469,8.0,9.0,24,0
102,02-23-2023 01:04:24 PM,FLAT,FH,1186.0670166015625,93.5843276977539,128.52305603027344,11.0,9.0,24,0
103,02-23-2023 01:04:26 PM,TOPSPIN,FH,1504.643798828125,88.49368286132812,117.81201934814453,10.0,8.0,24,0
104,02-23-2023 01:04:29 PM,TOPSPIN,FH,1245.138916015625,93.68846893310547,128.751953125,10.0,10.0,24,0
105,02-23-2023 01:04:32 PM,TOPSPIN,FH,1646.4764404296875,88.54838562011719,126.74080657958984,11.0,8.0,24,0
106,02-23-2023 01:04:56 PM,VOLLEY,FH,1774.0328369140625,49.978614807128906,47.109745025634766,9.0,9.0,24,0
107,02-23-2023 01:04:56 PM,VOLLEY,BH,1082.4654541015625,50.24374771118164,47.51024627685547,9.0,10.0,24,0
108,02-23-2023 01:04:58 PM,VOLLEY,BH,1022.3417358398438,53.955440521240234,53.249114990234375,9.0,12.0,24,0
109,02-23-2023 01:04:59 PM,VOLLEY,FH,1690.06884765625,46.43374252319336,41.878387451171875,8.0,9.0,24,0
110,02-23-2023 01:05:00 PM,VOLLEY,FH,1822.9736328125,45.12763214111328,40.009586334228516,9.0,9.0,24,0
111,02-23-2023 01:05:03 PM,VOLLEY,BH,1077.73193359375,49.89417266845703,46.98245620727539,9.0,12.0,24,0
112,02-23-2023 01:05:04 PM,VOLLEY,BH,1216.0264892578125,52.239166259765625,50.564998626708984,9.0,10.0,24,0
113,02-23-2023 01:05:05 PM,VOLLEY,FH,1871.155517578125,46.47499084472656,41.937923431396484,9.0,7.0,24,0
114,02-23-2023 01:05:05 PM,VOLLEY,FH,1927.054443359375,44.205970764160156,38.710208892822266,9.0,8.0,24,0
115,02-23-2023 01:05:07 PM,VOLLEY,BH,1170.7276611328125,51.424156188964844,49.308692932128906,10.0,10.0,24,0
116,02-23-2023 01:05:09 PM,VOLLEY,BH,1155.5430908203125,51.061004638671875,48.75273513793945,10.0,10.0,24,0
117,02-23-2023 01:05:10 PM,VOLLEY,FH,1520.4720458984375,45.98916244506836,41.23868179321289,7.0,11.0,24,0
118,02-23-2023 01:05:11 PM,VOLLEY,BH,1200.67822265625,55.06171417236328,55.00669479370117,10.0,12.0,24,0
119,02-23-2023 01:05:12 PM,VOLLEY,FH,1709.5963134765625,45.23749542236328,40.16554641723633,10.0,12.0,24,0
120,02-23-2023 01:05:13 PM,VOLLEY,BH,1211.171875,51.88249969482422,50.013755798339844,10.0,12.0,24,0
121,02-23-2023 01:05:14 PM,VOLLEY,BH,1211.48095703125,55.47332763671875,55.66609573364258,9.0,11.0,24,0
122,02-23-2023 01:05:15 PM,VOLLEY,FH,1963.941162109375,45.76874542236328,40.92290496826172,10.0,8.0,24,0
123,02-23-2023 01:05:16 PM,VOLLEY,FH,1596.6348876953125,45.908912658691406,41.12361145019531,10.0,10.0,24,0
124,02-23-2023 01:05:18 PM,VOLLEY,FH,1614.908935546875,51.02763748168945,48.7017707824707,8.0,10.0,24,0
125,02-23-2023 01:05:19 PM,VOLLEY,BH,1159.1868896484375,51.278900146484375,49.086036682128906,10.0,10.0,24,0
126,02-23-2023 01:05:21 PM,TOPSPIN,BH,1201.6787109375,53.13070297241211,51.952796936035156,9.0,10.0,24,0
127,02-23-2023 01:05:22 PM,FLAT,BH,985.35205078125,50.6744384765625,48.16353225708008,10.0,11.0,24,0
128,02-23-2023 01:05:25 PM,VOLLEY,BH,1159.972412109375,50.340999603271484,47.657466888427734,9.0,10.0,24,0
129,02-23-2023 01:05:26 PM,VOLLEY,FH,1354.952880859375,51.23527145385742,49.019229888916016,10.0,10.0,24,0
130,02-23-2023 01:05:28 PM,VOLLEY,BH,1200.121826171875,48.70957565307617,45.2104606628418,10.0,10.0,24,0
131,02-23-2023 01:05:29 PM,VOLLEY,FH,1574.0579833984375,44.013206481933594,38.44047927856445,10.0,8.0,24,0
132,02-23-2023 01:05:31 PM,FLAT,BH,1040.453369140625,49.58250045776367,46.51376724243164,10.0,7.0,24,0
133,02-23-2023 01:05:32 PM,VOLLEY,BH,1197.1258544921875,53.66250228881836,52.78730392456055,10.0,10.0,24,0
134,02-23-2023 01:05:32 PM,VOLLEY,FH,1664.716064453125,46.08783721923828,41.380348205566406,9.0,7.0,24,0
135,02-23-2023 01:05:33 PM,VOLLEY,BH,1167.375732421875,49.311668395996094,46.10791778564453,10.0,10.0,24,0
136,02-23-2023 01:05:34 PM,VOLLEY,FH,1497.3009033203125,46.59090805053711,42.105411529541016,10.0,10.0,24,0
137,02-23-2023 01:05:35 PM,VOLLEY,BH,1341.1156005859375,53.124027252197266,51.942352294921875,10.0,13.0,24,0
138,02-23-2023 01:05:37 PM,VOLLEY,BH,1426.918212890625,54.417903900146484,53.98125076293945,10.0,11.0,24,0
139,02-23-2023 01:05:37 PM,VOLLEY,FH,1589.2056884765625,44.31679916381836,38.865604400634766,6.0,11.0,24,0
140,02-23-2023 01:05:38 PM,VOLLEY,BH,1090.423583984375,53.24165725708008,52.126495361328125,10.0,10.0,24,0
141,02-23-2023 01:05:39 PM,VOLLEY,BH,1110.760986328125,49.26640319824219,46.04022216796875,10.0,10.0,24,0
142,02-23-2023 01:05:41 PM,VOLLEY,BH,826.5530395507812,51.360618591308594,49.21125030517578,10.0,10.0,24,0
143,02-23-2023 01:05:42 PM,VOLLEY,BH,1140.4683837890625,50.22853469848633,47.48722839355469,10.0,10.0,24,0
144,02-23-2023 01:05:44 PM,VOLLEY,BH,1029.87451171875,48.12541580200195,44.34607696533203,10.0,12.0,24,0
145,02-23-2023 01:05:44 PM,VOLLEY,FH,1631.6463623046875,47.91749572753906,44.0399284362793,9.0,9.0,24,0
146,02-23-2023 01:05:46 PM,VOLLEY,FH,1181.9898681640625,52.48694610595703,50.949283599853516,9.0,10.0,24,0
147,02-23-2023 01:05:47 PM,VOLLEY,FH,1217.5347900390625,52.93492126464844,51.64683151245117,10.0,8.0,24,0
148,02-23-2023 01:05:49 PM,VOLLEY,FH,1570.5286865234375,50.12290954589844,47.327552795410156,9.0,10.0,24,0
149,02-23-2023 01:05:51 PM,VOLLEY,FH,1798.7855224609375,43.83500289916992,38.19175720214844,8.0,9.0,24,0
150,02-23-2023 01:05:52 PM,FLAT,BH,991.9071044921875,51.20397186279297,48.9713249206543,9.0,9.0,24,0
151,02-23-2023 01:05:56 PM,FLAT,BH,1017.6907958984375,53.55083465576172,52.61166000366211,10.0,8.0,24,0
152,02-23-2023 01:05:57 PM,FLAT,BH,1176.2467041015625,54.06242752075195,53.418155670166016,12.0,11.0,24,0
153,02-23-2023 01:06:45 PM,VOLLEY,FH,2060.21630859375,47.0125617980957,42.716758728027344,10.0,8.0,24,0
154,02-23-2023 01:06:49 PM,VOLLEY,BH,1236.9854736328125,50.07586669921875,47.256500244140625,10.0,9.0,24,0
155,02-23-2023 01:06:51 PM,VOLLEY,BH,1436.518310546875,48.7800178527832,45.315120697021484,9.0,9.0,24,0
156,02-23-2023 01:06:52 PM,VOLLEY,BH,1284.0946044921875,52.67470932006836,51.24121856689453,12.0,10.0,24,0
157,02-23-2023 01:06:54 PM,TOPSPIN,FH,1440.996826171875,50.35332489013672,47.67613983154297,8.0,13.0,24,0
158,02-23-2023 01:06:55 PM,VOLLEY,BH,1236.25146484375,49.69792938232422,46.68714141845703,9.0,12.0,24,0
159,02-23-2023 01:06:57 PM,VOLLEY,BH,1359.9888916015625,49.98167037963867,47.11435317993164,9.0,10.0,24,0
160,02-23-2023 01:06:58 PM,VOLLEY,BH,1261.7337646484375,52.44931411743164,50.89085006713867,10.0,9.0,24,0
161,02-23-2023 01:07:13 PM,VOLLEY,FH,1800.2545166015625,48.73415756225586,45.246978759765625,9.0,10.0,24,0
162,02-23-2023 01:07:15 PM,VOLLEY,BH,1162.7139892578125,49.2769660949707,46.05601501464844,10.0,11.0,24,0
163,02-23-2023 01:07:17 PM,VOLLEY,FH,1905.0411376953125,46.71723937988281,42.28822708129883,10.0,7.0,24,0
